from,to,weight
0,0,0.0
0,1,0.48
0,2,0.44
0,3,0.48
0,4,0.48
0,5,0.48
0,6,0.48
0,7,0.0
0,8,0.56
0,9,0.0
0,10,0.6
0,11,0.44
0,12,0.56
0,13,0.0
0,14,0.0
0,15,0.52
0,16,0.0
0,17,0.48
1,0,0.5789473684210527
1,1,0.0
1,2,0.5263157894736842
1,3,0.3684210526315789
1,4,0.3684210526315789
1,5,0.0
1,6,0.0
1,7,0.42105263157894735
1,8,0.3684210526315789
1,9,0.0
1,10,0.6842105263157895
1,11,0.5789473684210527
1,12,0.6842105263157895
1,13,0.5263157894736842
1,14,0.3684210526315789
1,15,0.5263157894736842
1,16,0.0
1,17,0.7368421052631579
2,0,0.44
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.44
2,5,0.44
2,6,0.0
2,7,0.0
2,8,0.44
2,9,0.48
2,10,0.44
2,11,0.48
2,12,0.44
2,13,0.0
2,14,0.44
2,15,0.0
2,16,0.0
2,17,0.6
3,0,0.6470588235294118
3,1,0.47058823529411764
3,2,0.5294117647058824
3,3,0.0
3,4,0.35294117647058826
3,5,0.6470588235294118
3,6,0.5882352941176471
3,7,0.5882352941176471
3,8,0.47058823529411764
3,9,0.4117647058823529
3,10,0.6470588235294118
3,11,0.4117647058823529
3,12,0.5882352941176471
3,13,0.4117647058823529
3,14,0.0
3,15,0.6470588235294118
3,16,0.0
3,17,0.47058823529411764
4,0,0.631578947368421
4,1,0.631578947368421
4,2,0.7368421052631579
4,3,0.42105263157894735
4,4,0.0
4,5,0.5789473684210527
4,6,0.47368421052631576
4,7,0.47368421052631576
4,8,0.42105263157894735
4,9,0.42105263157894735
4,10,0.5789473684210527
4,11,0.47368421052631576
4,12,0.631578947368421
4,13,0.6842105263157895
4,14,0.47368421052631576
4,15,0.6842105263157895
4,16,0.42105263157894735
4,17,0.47368421052631576
5,0,0.8333333333333334
5,1,0.7777777777777778
5,2,0.5555555555555556
5,3,0.6666666666666666
5,4,0.6111111111111112
5,5,0.0
5,6,0.5
5,7,0.6111111111111112
5,8,0.6111111111111112
5,9,0.3888888888888889
5,10,0.7222222222222222
5,11,0.4444444444444444
5,12,0.7222222222222222
5,13,0.6111111111111112
5,14,0.4444444444444444
5,15,0.7222222222222222
5,16,0.3333333333333333
5,17,0.6666666666666666
6,0,0.6818181818181818
6,1,0.4090909090909091
6,2,0.4090909090909091
6,3,0.0
6,4,0.5454545454545454
6,5,0.45454545454545453
6,6,0.0
6,7,0.5
6,8,0.45454545454545453
6,9,0.0
6,10,0.5
6,11,0.0
6,12,0.5
6,13,0.4090909090909091
6,14,0.5
6,15,0.45454545454545453
6,16,0.0
6,17,0.45454545454545453
7,0,0.5625
7,1,0.5
7,2,0.5625
7,3,0.4375
7,4,0.4375
7,5,0.4375
7,6,0.625
7,7,0.0
7,8,0.3125
7,9,0.375
7,10,0.6875
7,11,0.4375
7,12,0.625
7,13,0.4375
7,14,0.375
7,15,0.6875
7,16,0.375
7,17,0.5625
8,0,0.6956521739130435
8,1,0.391304347826087
8,2,0.4782608695652174
8,3,0.391304347826087
8,4,0.4782608695652174
8,5,0.5652173913043478
8,6,0.43478260869565216
8,7,0.43478260869565216
8,8,0.0
8,9,0.0
8,10,0.5652173913043478
8,11,0.391304347826087
8,12,0.5652173913043478
8,13,0.4782608695652174
8,14,0.0
8,15,0.4782608695652174
8,16,0.0
8,17,0.5652173913043478
9,0,0.5714285714285714
9,1,0.42857142857142855
9,2,0.7857142857142857
9,3,0.5
9,4,0.5
9,5,0.5
9,6,0.5
9,7,0.35714285714285715
9,8,0.42857142857142855
9,9,0.0
9,10,0.5714285714285714
9,11,0.5
9,12,0.35714285714285715
9,13,0.5
9,14,0.5714285714285714
9,15,0.42857142857142855
9,16,0.35714285714285715
9,17,0.5
10,0,0.5
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.46153846153846156
10,7,0.0
10,8,0.0
10,9,0.0
10,10,0.0
10,11,0.46153846153846156
10,12,0.5384615384615384
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.5
11,0,0.0
11,1,0.391304347826087
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,0.391304347826087
11,7,0.0
11,8,0.0
11,9,0.0
11,10,0.5217391304347826
11,11,0.0
11,12,0.0
11,13,0.0
11,14,0.391304347826087
11,15,0.0
11,16,0.0
11,17,0.5217391304347826
12,0,0.56
12,1,0.52
12,2,0.48
12,3,0.0
12,4,0.52
12,5,0.44
12,6,0.44
12,7,0.48
12,8,0.0
12,9,0.0
12,10,0.72
12,11,0.44
12,12,0.0
12,13,0.0
12,14,0.52
12,15,0.6
12,16,0.0
12,17,0.56
13,0,0.5
13,1,0.5
13,2,0.5555555555555556
13,3,0.0
13,4,0.6666666666666666
13,5,0.6111111111111112
13,6,0.5
13,7,0.5
13,8,0.3888888888888889
13,9,0.0
13,10,0.6666666666666666
13,11,0.3888888888888889
13,12,0.5
13,13,0.0
13,14,0.3333333333333333
13,15,0.5
13,16,0.3888888888888889
13,17,0.3333333333333333
14,0,0.5714285714285714
14,1,0.5238095238095238
14,2,0.6666666666666666
14,3,0.42857142857142855
14,4,0.6666666666666666
14,5,0.5714285714285714
14,6,0.42857142857142855
14,7,0.38095238095238093
14,8,0.47619047619047616
14,9,0.47619047619047616
14,10,0.6190476190476191
14,11,0.5714285714285714
14,12,0.7142857142857143
14,13,0.5714285714285714
14,14,0.0
14,15,0.6666666666666666
14,16,0.42857142857142855
14,17,0.6190476190476191
15,0,0.5882352941176471
15,1,0.5294117647058824
15,2,0.7058823529411765
15,3,0.47058823529411764
15,4,0.47058823529411764
15,5,0.5294117647058824
15,6,0.5294117647058824
15,7,0.47058823529411764
15,8,0.5294117647058824
15,9,0.35294117647058826
15,10,0.7647058823529411
15,11,0.5294117647058824
15,12,0.47058823529411764
15,13,0.5294117647058824
15,14,0.35294117647058826
15,15,0.0
15,16,0.4117647058823529
15,17,0.7058823529411765
16,0,0.7
16,1,0.4
16,2,0.8
16,3,0.3
16,4,0.6
16,5,0.6
16,6,0.8
16,7,0.4
16,8,0.7
16,9,0.3
16,10,0.8
16,11,0.7
16,12,0.5
16,13,0.6
16,14,0.6
16,15,0.6
16,16,0.0
16,17,0.5
17,0,0.52
17,1,0.0
17,2,0.44
17,3,0.44
17,4,0.0
17,5,0.0
17,6,0.56
17,7,0.0
17,8,0.56
17,9,0.0
17,10,0.64
17,11,0.52
17,12,0.56
17,13,0.0
17,14,0.52
17,15,0.6
17,16,0.0
17,17,0.0
